,plate,object_id,ra,dec,mag_B,mag_R,spectrum_class,spectrum_length,red_bord_position,9,10,11,12,13,14,15,16,fits_path
17,fbs0007,DFBSJ150111.23+425941.7,15:01:11.238,+42:59:41.76,14.58,15.09,OK,90,16,3.493710965251074e-11,5.848351811178449e-14,1.4953061400243757e-11,2.4445220945725892e-09,-1.0763820919243616e-11,1.8041256244467296e-14,-1.3546128379001388e-17,3.829371708071211e-21,specimages/fbs0007-DFBSJ150111.23+425941.7.fits
18,fbs0007,DFBSJ150111.63+425431.1,15:01:11.635,+42:54:31.14,16.29,15.98,U,87,17,-5.292505752437757e-12,-3.818766058697364e-15,-1.1475073724046438e-12,-1.915618907377509e-10,1.0914827975196583e-12,-2.229413824864615e-15,1.9530965229794737e-18,-6.236506646612127e-22,specimages/fbs0007-DFBSJ150111.63+425431.1.fits
19,fbs0007,DFBSJ150112.99+425641.7,15:01:12.995,+42:56:41.79,13.92,13.18,OK,116,16,-1.4127488395215445e-11,-2.3648778051913445e-14,-6.046497908717578e-12,-9.884715053734565e-10,7.5910758382324e-12,-1.792038403643355e-14,1.7099452180293777e-17,-5.78062537307863e-21,specimages/fbs0007-DFBSJ150112.99+425641.7.fits
20,fbs0007,DFBSJ150117.02+425520.2,15:01:17.021,+42:55:20.26,15.2,13.83,OK,91,15,2.664055954870239e-12,-7.453967343952784e-14,-1.981223555635415e-11,-3.17494497253771e-09,1.7063539457861586e-11,-3.377639045041718e-14,2.918457860260026e-17,-9.303588511345783e-21,specimages/fbs0007-DFBSJ150117.02+425520.2.fits
21,fbs0007,DFBSJ150122.47+425535.6,15:01:22.476,+42:55:35.65,16.91,16.57,U,85,20,1.1289542981707173e-13,8.945726699455954e-16,4.1838129482614216e-13,7.488493770303227e-11,-2.1484926354409047e-13,1.924339458866213e-16,-3.873082410971935e-20,-1.3278752677859363e-23,specimages/fbs0007-DFBSJ150122.47+425535.6.fits
22,fbs0007,DFBSJ150122.86+425804.7,15:01:22.860,+42:58:04.73,14.4,13.04,U,119,15,5.2007379415798175e-12,-1.4551547738103307e-13,-3.8677212061972025e-11,-6.1980892454576764e-09,3.362067172513459e-11,-6.698162106102622e-14,5.81399860606188e-17,-1.8593909679791962e-20,specimages/fbs0007-DFBSJ150122.86+425804.7.fits
23,fbs0007,DFBSJ150124.46+425846.1,15:01:24.469,+42:58:46.13,14.02,12.54,OK,100,14,5.09645784965976e-11,-2.9863858692196794e-13,-7.730546416930329e-11,-1.2154853271812391e-08,6.617441410355963e-11,-1.329822568413532e-13,1.1683641794651923e-16,-3.791744953642315e-20,specimages/fbs0007-DFBSJ150124.46+425846.1.fits
24,fbs0007,DFBSJ150129.05+425708.3,15:01:29.057,+42:57:08.34,16.68,14.97,U,60,16,-1.762168654259573e-11,-2.949805143566144e-14,-7.542053620249307e-12,-1.2329702781583991e-09,6.391481443076275e-12,-1.2270527522517343e-14,1.0317369178710087e-17,-3.2069135192090806e-21,specimages/fbs0007-DFBSJ150129.05+425708.3.fits
25,fbs0007,DFBSJ150132.16+430055.2,15:01:32.160,+43:00:55.28,12.4,11.74,OK,120,8,-2.1570146298730075e-10,3.632924910962687e-13,8.876020958063074e-11,1.2648381185876241e-08,-5.606692325915936e-11,1.0367366386431387e-13,-9.449772475158942e-17,3.4921290530083153e-20,specimages/fbs0007-DFBSJ150132.16+430055.2.fits
26,fbs0007,DFBSJ150135.31+425449.1,15:01:35.317,+42:54:49.15,16.27,14.83,OK,69,13,-2.7223469913289064e-11,-2.6184180014192747e-14,-8.674264988198196e-12,-1.3392969962695784e-09,7.096723828016009e-12,-1.3888239487321997e-14,1.1893177216703705e-17,-3.765775006263477e-21,specimages/fbs0007-DFBSJ150135.31+425449.1.fits
27,fbs0013,DFBSJ152117.25+425451.7,15:21:17.252,+42:54:51.75,14.96,14.45,OK,120,13,-4.841028211875126e-11,-4.6562177405310105e-14,-1.54250658583689e-11,-2.381614229829581e-09,1.2253235167712898e-11,-2.3778630366243832e-14,2.047055953818814e-17,-6.5758703232643464e-21,specimages/fbs0013-DFBSJ152117.25+425451.7.fits
28,fbs0013,DFBSJ152121.34+430308.9,15:21:21.343,+43:03:08.98,15.26,14.95,U,94,15,1.841741871438333e-13,-5.153163432709134e-15,-1.3696814954349485e-12,-2.1949343943160768e-10,1.3289859523858313e-12,-2.8119248805617704e-15,2.5286737603848846e-18,-8.267679838472692e-22,specimages/fbs0013-DFBSJ152121.34+430308.9.fits
29,fbs0013,DFBSJ152135.30+425743.3,15:21:35.307,+42:57:43.32,15.58,15.12,U,120,11,2.705668958220269e-12,-1.298192390078896e-14,-3.6364517979530747e-12,-5.426489803557279e-10,2.856754000872746e-12,-5.5570553581474056e-15,4.721285368348842e-18,-1.4781214978325214e-21,specimages/fbs0013-DFBSJ152135.30+425743.3.fits
30,fbs0013,DFBSJ152136.63+425414.4,15:21:36.638,+42:54:14.49,12.51,11.97,NL,113,17,6.503605831597187e-11,4.6926534233295605e-14,1.4101064543969825e-11,2.354011525676274e-09,-6.727132109712429e-12,6.345441805325191e-15,-1.6487671435315447e-18,-3.068193819079234e-22,specimages/fbs0013-DFBSJ152136.63+425414.4.fits
31,fbs0013,DFBSJ152136.68+425436.9,15:21:36.681,+42:54:36.98,12.11,11.98,NL,120,12,6.275161815840759e-11,-3.9622760994044233e-14,-9.876726114658958e-12,-1.4986790984741975e-09,1.953876316683303e-11,-5.613322609370753e-14,6.084149994346571e-17,-2.2798371532002484e-20,specimages/fbs0013-DFBSJ152136.68+425436.9.fits
32,fbs0013,DFBSJ152146.25+425856.9,15:21:46.253,+42:58:56.92,12.73,12.31,OK,106,15,3.126572436011406e-12,-8.74810578289669e-14,-2.3251960525472657e-11,-3.726157841619191e-09,2.350511299856788e-11,-5.121247651149992e-14,4.710313874561953e-17,-1.5676607852329437e-20,specimages/fbs0013-DFBSJ152146.25+425856.9.fits
33,fbs0013,DFBSJ152146.98+425914.8,15:21:46.987,+42:59:14.86,13.23,12.72,U,106,20,1.5898217698101311e-12,1.2597581884217682e-14,5.891743722623225e-12,1.0545478631390479e-09,-2.777131846307752e-12,2.0776590156710005e-15,-2.939806315979475e-20,-3.212409299990607e-22,specimages/fbs0013-DFBSJ152146.98+425914.8.fits
34,fbs0013,DFBSJ152152.85+430210.4,15:21:52.850,+43:02:10.41,14.77,13.6,NL,80,14,1.3860868374218294e-11,-8.12209408270599e-14,-2.102482297359629e-11,-3.305765397406226e-09,1.7555633760873774e-11,-3.4607637950787095e-14,2.994761684135454e-17,-9.601011765400947e-21,specimages/fbs0013-DFBSJ152152.85+430210.4.fits
35,fbs0013,DFBSJ152153.11+430326.5,15:21:53.112,+43:03:26.55,13.51,14.81,NL,120,15,-2.372075423195361e-12,6.637002207083198e-14,1.7640795935397085e-11,2.826971344233028e-09,-1.3909076640646387e-11,2.5914384246732634e-14,-2.1500235226261552e-17,6.674825329140053e-21,specimages/fbs0013-DFBSJ152153.11+430326.5.fits
36,fbs0013,DFBSJ152154.06+430323.4,15:21:54.061,+43:03:23.48,14.51,15.43,U,110,15,-6.421066523776846e-13,1.7965961118902136e-14,4.775256760481872e-12,7.652442866056159e-10,-3.6713613258164484e-12,6.719327339147845e-15,-5.5085475272348476e-18,1.697301867308131e-21,specimages/fbs0013-DFBSJ152154.06+430323.4.fits
37,fbs0015,DFBSJ162105.29+425646.4,16:21:05.291,+42:56:46.47,16.78,15.41,U,54,19,4.1933037770379546e-12,-3.81760083104936e-15,-1.1531807357280834e-12,-2.0140914962365249e-10,1.0654256418652061e-12,-2.010855437343433e-15,1.6246278219239949e-18,-4.780598580089807e-22,specimages/fbs0015-DFBSJ162105.29+425646.4.fits
38,fbs0015,DFBSJ162108.62+425912.6,16:21:08.629,+42:59:12.65,14.68,13.55,OK,92,17,-6.328994863567255e-11,-4.5666397345703563e-14,-1.3722375371599502e-11,-2.2907794357344995e-09,1.2306444145318326e-11,-2.399084898623296e-14,2.022395412714152e-17,-6.249943285067397e-21,specimages/fbs0015-DFBSJ162108.62+425912.6.fits
39,fbs0015,DFBSJ162110.85+425503.7,16:21:10.853,+42:55:03.70,16.8,15.47,U,30,14,4.08429129545996e-12,-2.3932845674535482e-14,-6.195248191173235e-12,-9.740886517184054e-10,5.094370369472319e-12,-9.949688840535845e-15,8.559359842650587e-18,-2.733031398519197e-21,specimages/fbs0015-DFBSJ162110.85+425503.7.fits
40,fbs0015,DFBSJ162111.70+425814.3,16:21:11.709,+42:58:14.34,14.25,13.22,OK,95,16,-5.170422387293822e-11,-8.655090694356362e-14,-2.2129305174362046e-11,-3.6176823876958383e-09,1.985340228366428e-11,-3.96047740393127e-14,3.4201562758883554e-17,-1.0836177538325642e-20,specimages/fbs0015-DFBSJ162111.70+425814.3.fits
41,fbs0015,DFBSJ162123.82+425955.8,16:21:23.829,+42:59:55.82,17.06,15.26,U,56,15,6.971783039288215e-13,-1.9506875192998757e-14,-5.184821380532083e-12,-8.308770188198469e-10,4.2969078305819425e-12,-8.244675645715998e-15,6.93881085853961e-18,-2.1617599445418108e-21,specimages/fbs0015-DFBSJ162123.82+425955.8.fits
42,fbs0015,DFBSJ162124.03+425536.3,16:21:24.036,+42:55:36.39,16.04,16.05,U,98,17,8.697767192059831e-14,6.276191842605715e-17,1.8859882892770276e-14,3.1486513279216147e-12,7.560696976680322e-14,-2.654176414495045e-16,2.9226891724712854e-19,-1.0560829267243694e-22,specimages/fbs0015-DFBSJ162124.03+425536.3.fits
43,fbs0015,DFBSJ162125.69+425724.1,16:21:25.691,+42:57:24.16,14.57,13.72,OK,99,15,1.9982260262893195e-12,-5.59099433439221e-14,-1.4860552407079842e-11,-2.381427960928252e-09,1.327557615660367e-11,-2.6932322594471663e-14,2.367773827214543e-17,-7.644618087209936e-21,specimages/fbs0015-DFBSJ162125.69+425724.1.fits
44,fbs0015,DFBSJ162126.40+425747.2,16:21:26.408,+42:57:47.24,15.18,14.85,OK,98,17,6.101958708937009e-12,4.402853855339041e-15,1.3230247709963003e-12,2.20864309197283e-10,-4.5016138852123455e-13,-8.229349888751944e-17,6.469519671332702e-19,-3.3409156001853023e-22,specimages/fbs0015-DFBSJ162126.40+425747.2.fits
45,fbs0015,DFBSJ162129.58+425455.9,16:21:29.583,+42:54:55.96,15.44,14.69,OK,91,17,-1.240278113260642e-11,-8.949127291195187e-15,-2.6891378998025353e-12,-4.4891753850556566e-10,2.6125777599456954e-12,-5.353418650580783e-15,4.667671654613649e-18,-1.477834481541741e-21,specimages/fbs0015-DFBSJ162129.58+425455.9.fits
46,fbs0015,DFBSJ162129.72+430038.0,16:21:29.725,+43:00:38.03,15.31,14.89,OK,98,17,-4.317111605230706e-12,-3.114967307768174e-15,-9.360204625005763e-13,-1.5625617235001362e-10,1.1507051535250347e-12,-2.6416019637474993e-15,2.4617776400717498e-18,-8.142295278457716e-22,specimages/fbs0015-DFBSJ162129.72+430038.0.fits
