,plate,object_id,ra,dec,mag_B,mag_R,spectrum_class,spectrum_length,red_bord_position,dx,dy
0,fbs1461,DFBSJ083254.33+225544.9,08:32:54.331,+22:55:44.99,18.7,15.51,U,55,16,5632,4503
1,fbs1461,DFBSJ083257.50+230101.3,08:32:57.509,+23:01:01.39,13.65,12.9,OK,99,17,5611,4709
2,fbs1461,DFBSJ083258.10+225749.7,08:32:58.106,+22:57:49.77,13.88,12.65,OK,117,17,5601,4585
3,fbs1461,DFBSJ083300.59+225625.0,08:33:00.590,+22:56:25.00,15.62,14.09,OK,84,18,5578,4531
4,fbs1461,DFBSJ083300.88+225231.3,08:33:00.888,+22:52:31.31,17.53,15.85,U,60,18,5570,4379
5,fbs1461,DFBSJ083303.41+225748.5,08:33:03.419,+22:57:48.52,16.57,15.05,U,78,18,5554,4586
6,fbs1461,DFBSJ083306.50+225414.6,08:33:06.504,+22:54:14.60,14.15,13.65,OK,99,17,5522,4448
7,fbs1461,DFBSJ083306.83+225706.0,08:33:06.839,+22:57:06.03,16.93,16.38,U,74,26,5523,4559
8,fbs1461,DFBSJ083307.30+230439.9,08:33:07.301,+23:04:39.99,16.1,15.73,U,82,17,5528,4854
9,fbs1461,DFBSJ083309.79+230557.3,08:33:09.797,+23:05:57.35,16.71,16.46,N,71,16,5508,4904
10,fbs1461,DFBSJ083310.98+225526.0,08:33:10.987,+22:55:26.06,17.31,16.92,U,23,12,5484,4495
11,fbs1461,DFBSJ083311.26+225300.5,08:33:11.263,+22:53:00.57,15.92,14.76,U,120,18,5478,4401
12,fbs1461,DFBSJ083311.69+225032.6,08:33:11.697,+22:50:32.68,14.69,13.69,NL,117,18,5471,4305
13,fbs1461,DFBSJ083312.00+225025.5,08:33:12.000,+22:50:25.57,14.69,13.69,NL,117,18,5469,4301
14,fbs1461,DFBSJ083312.25+230301.2,08:33:12.257,+23:03:01.20,16.25,15.06,NL,67,17,5482,4791
15,fbs1461,DFBSJ083312.74+230159.7,08:33:12.740,+23:01:59.78,13.91,13.37,NL,100,20,5477,4751
16,fbs1461,DFBSJ083312.85+225341.4,08:33:12.859,+22:53:41.41,14.29,13.6,OK,104,18,5465,4428
17,fbs1461,DFBSJ083316.51+225439.5,08:33:16.512,+22:54:39.52,14.91,14.11,OK,88,16,5434,4467
18,fbs1461,DFBSJ083317.85+225005.9,08:33:17.856,+22:50:05.91,13.82,13.08,OK,109,17,5416,4290
19,fbs1461,DFBSJ083321.33+230001.7,08:33:21.332,+23:00:01.75,16.59,16.29,U,77,29,5398,4677
