,Unnamed: 0,plate,object_id,ra,dec,mag_B,mag_R,spectrum_class,spectrum_length,red_bord_position,9,10,11,12,13,14,15,16,fits_path,jpeg_path
17,17,fbs0007,DFBSJ150111.23+425941.7,01:11.2,+42:59:41.76,14.58,15.09,OK,90,16,3.49E-11,5.85E-14,1.50E-11,2.44E-09,-1.08E-11,1.80E-14,-1.35E-17,3.83E-21,specimages/fbs0007-DFBSJ150111.23+425941.7.fits,specimagesjpeg/fbs0007-DFBSJ150111.23+425941.7.jpg
18,18,fbs0007,DFBSJ150111.63+425431.1,01:11.6,+42:54:31.14,16.29,15.98,U,87,17,-5.29E-12,-3.82E-15,-1.15E-12,-1.92E-10,1.09E-12,-2.23E-15,1.95E-18,-6.24E-22,specimages/fbs0007-DFBSJ150111.63+425431.1.fits,specimagesjpeg/fbs0007-DFBSJ150111.63+425431.1.jpg
19,19,fbs0007,DFBSJ150112.99+425641.7,01:13.0,+42:56:41.79,13.92,13.18,OK,116,16,-1.41E-11,-2.36E-14,-6.05E-12,-9.88E-10,7.59E-12,-1.79E-14,1.71E-17,-5.78E-21,specimages/fbs0007-DFBSJ150112.99+425641.7.fits,specimagesjpeg/fbs0007-DFBSJ150112.99+425641.7.jpg
20,20,fbs0007,DFBSJ150117.02+425520.2,01:17.0,+42:55:20.26,15.2,13.83,OK,91,15,2.66E-12,-7.45E-14,-1.98E-11,-3.17E-09,1.71E-11,-3.38E-14,2.92E-17,-9.30E-21,specimages/fbs0007-DFBSJ150117.02+425520.2.fits,specimagesjpeg/fbs0007-DFBSJ150117.02+425520.2.jpg
21,21,fbs0007,DFBSJ150122.47+425535.6,01:22.5,+42:55:35.65,16.91,16.57,U,85,20,1.13E-13,8.95E-16,4.18E-13,7.49E-11,-2.15E-13,1.92E-16,-3.87E-20,-1.33E-23,specimages/fbs0007-DFBSJ150122.47+425535.6.fits,specimagesjpeg/fbs0007-DFBSJ150122.47+425535.6.jpg
22,22,fbs0007,DFBSJ150122.86+425804.7,01:22.9,+42:58:04.73,14.4,13.04,U,119,15,5.20E-12,-1.46E-13,-3.87E-11,-6.20E-09,3.36E-11,-6.70E-14,5.81E-17,-1.86E-20,specimages/fbs0007-DFBSJ150122.86+425804.7.fits,specimagesjpeg/fbs0007-DFBSJ150122.86+425804.7.jpg
23,23,fbs0007,DFBSJ150124.46+425846.1,01:24.5,+42:58:46.13,14.02,12.54,OK,100,14,5.10E-11,-2.99E-13,-7.73E-11,-1.22E-08,6.62E-11,-1.33E-13,1.17E-16,-3.79E-20,specimages/fbs0007-DFBSJ150124.46+425846.1.fits,specimagesjpeg/fbs0007-DFBSJ150124.46+425846.1.jpg
24,24,fbs0007,DFBSJ150129.05+425708.3,01:29.1,+42:57:08.34,16.68,14.97,U,60,16,-1.76E-11,-2.95E-14,-7.54E-12,-1.23E-09,6.39E-12,-1.23E-14,1.03E-17,-3.21E-21,specimages/fbs0007-DFBSJ150129.05+425708.3.fits,specimagesjpeg/fbs0007-DFBSJ150129.05+425708.3.jpg
25,25,fbs0007,DFBSJ150132.16+430055.2,01:32.2,+43:00:55.28,12.4,11.74,OK,120,8,-2.16E-10,3.63E-13,8.88E-11,1.26E-08,-5.61E-11,1.04E-13,-9.45E-17,3.49E-20,specimages/fbs0007-DFBSJ150132.16+430055.2.fits,specimagesjpeg/fbs0007-DFBSJ150132.16+430055.2.jpg
26,26,fbs0007,DFBSJ150135.31+425449.1,01:35.3,+42:54:49.15,16.27,14.83,OK,69,13,-2.72E-11,-2.62E-14,-8.67E-12,-1.34E-09,7.10E-12,-1.39E-14,1.19E-17,-3.77E-21,specimages/fbs0007-DFBSJ150135.31+425449.1.fits,specimagesjpeg/fbs0007-DFBSJ150135.31+425449.1.jpg
27,27,fbs0013,DFBSJ152117.25+425451.7,21:17.3,+42:54:51.75,14.96,14.45,OK,120,13,-4.84E-11,-4.66E-14,-1.54E-11,-2.38E-09,1.23E-11,-2.38E-14,2.05E-17,-6.58E-21,specimages/fbs0013-DFBSJ152117.25+425451.7.fits,specimagesjpeg/fbs0013-DFBSJ152117.25+425451.7.jpg
28,28,fbs0013,DFBSJ152121.34+430308.9,21:21.3,+43:03:08.98,15.26,14.95,U,94,15,1.84E-13,-5.15E-15,-1.37E-12,-2.19E-10,1.33E-12,-2.81E-15,2.53E-18,-8.27E-22,specimages/fbs0013-DFBSJ152121.34+430308.9.fits,specimagesjpeg/fbs0013-DFBSJ152121.34+430308.9.jpg
29,29,fbs0013,DFBSJ152135.30+425743.3,21:35.3,+42:57:43.32,15.58,15.12,U,120,11,2.71E-12,-1.30E-14,-3.64E-12,-5.43E-10,2.86E-12,-5.56E-15,4.72E-18,-1.48E-21,specimages/fbs0013-DFBSJ152135.30+425743.3.fits,specimagesjpeg/fbs0013-DFBSJ152135.30+425743.3.jpg
30,30,fbs0013,DFBSJ152136.63+425414.4,21:36.6,+42:54:14.49,12.51,11.97,NL,113,17,6.50E-11,4.69E-14,1.41E-11,2.35E-09,-6.73E-12,6.35E-15,-1.65E-18,-3.07E-22,specimages/fbs0013-DFBSJ152136.63+425414.4.fits,specimagesjpeg/fbs0013-DFBSJ152136.63+425414.4.jpg
31,31,fbs0013,DFBSJ152136.68+425436.9,21:36.7,+42:54:36.98,12.11,11.98,NL,120,12,6.28E-11,-3.96E-14,-9.88E-12,-1.50E-09,1.95E-11,-5.61E-14,6.08E-17,-2.28E-20,specimages/fbs0013-DFBSJ152136.68+425436.9.fits,specimagesjpeg/fbs0013-DFBSJ152136.68+425436.9.jpg
32,32,fbs0013,DFBSJ152146.25+425856.9,21:46.3,+42:58:56.92,12.73,12.31,OK,106,15,3.13E-12,-8.75E-14,-2.33E-11,-3.73E-09,2.35E-11,-5.12E-14,4.71E-17,-1.57E-20,specimages/fbs0013-DFBSJ152146.25+425856.9.fits,specimagesjpeg/fbs0013-DFBSJ152146.25+425856.9.jpg
33,33,fbs0013,DFBSJ152146.98+425914.8,21:47.0,+42:59:14.86,13.23,12.72,U,106,20,1.59E-12,1.26E-14,5.89E-12,1.05E-09,-2.78E-12,2.08E-15,-2.94E-20,-3.21E-22,specimages/fbs0013-DFBSJ152146.98+425914.8.fits,specimagesjpeg/fbs0013-DFBSJ152146.98+425914.8.jpg
34,34,fbs0013,DFBSJ152152.85+430210.4,21:52.9,+43:02:10.41,14.77,13.6,NL,80,14,1.39E-11,-8.12E-14,-2.10E-11,-3.31E-09,1.76E-11,-3.46E-14,2.99E-17,-9.60E-21,specimages/fbs0013-DFBSJ152152.85+430210.4.fits,specimagesjpeg/fbs0013-DFBSJ152152.85+430210.4.jpg
35,35,fbs0013,DFBSJ152153.11+430326.5,21:53.1,+43:03:26.55,13.51,14.81,NL,120,15,-2.37E-12,6.64E-14,1.76E-11,2.83E-09,-1.39E-11,2.59E-14,-2.15E-17,6.67E-21,specimages/fbs0013-DFBSJ152153.11+430326.5.fits,specimagesjpeg/fbs0013-DFBSJ152153.11+430326.5.jpg
36,36,fbs0013,DFBSJ152154.06+430323.4,21:54.1,+43:03:23.48,14.51,15.43,U,110,15,-6.42E-13,1.80E-14,4.78E-12,7.65E-10,-3.67E-12,6.72E-15,-5.51E-18,1.70E-21,specimages/fbs0013-DFBSJ152154.06+430323.4.fits,specimagesjpeg/fbs0013-DFBSJ152154.06+430323.4.jpg
37,37,fbs0015,DFBSJ162105.29+425646.4,21:05.3,+42:56:46.47,16.78,15.41,U,54,19,4.19E-12,-3.82E-15,-1.15E-12,-2.01E-10,1.07E-12,-2.01E-15,1.62E-18,-4.78E-22,specimages/fbs0015-DFBSJ162105.29+425646.4.fits,specimagesjpeg/fbs0015-DFBSJ162105.29+425646.4.jpg
38,38,fbs0015,DFBSJ162108.62+425912.6,21:08.6,+42:59:12.65,14.68,13.55,OK,92,17,-6.33E-11,-4.57E-14,-1.37E-11,-2.29E-09,1.23E-11,-2.40E-14,2.02E-17,-6.25E-21,specimages/fbs0015-DFBSJ162108.62+425912.6.fits,specimagesjpeg/fbs0015-DFBSJ162108.62+425912.6.jpg
39,39,fbs0015,DFBSJ162110.85+425503.7,21:10.9,+42:55:03.70,16.8,15.47,U,30,14,4.08E-12,-2.39E-14,-6.20E-12,-9.74E-10,5.09E-12,-9.95E-15,8.56E-18,-2.73E-21,specimages/fbs0015-DFBSJ162110.85+425503.7.fits,specimagesjpeg/fbs0015-DFBSJ162110.85+425503.7.jpg
40,40,fbs0015,DFBSJ162111.70+425814.3,21:11.7,+42:58:14.34,14.25,13.22,OK,95,16,-5.17E-11,-8.66E-14,-2.21E-11,-3.62E-09,1.99E-11,-3.96E-14,3.42E-17,-1.08E-20,specimages/fbs0015-DFBSJ162111.70+425814.3.fits,specimagesjpeg/fbs0015-DFBSJ162111.70+425814.3.jpg
41,41,fbs0015,DFBSJ162123.82+425955.8,21:23.8,+42:59:55.82,17.06,15.26,U,56,15,6.97E-13,-1.95E-14,-5.18E-12,-8.31E-10,4.30E-12,-8.24E-15,6.94E-18,-2.16E-21,specimages/fbs0015-DFBSJ162123.82+425955.8.fits,specimagesjpeg/fbs0015-DFBSJ162123.82+425955.8.jpg
42,42,fbs0015,DFBSJ162124.03+425536.3,21:24.0,+42:55:36.39,16.04,16.05,U,98,17,8.70E-14,6.28E-17,1.89E-14,3.15E-12,7.56E-14,-2.65E-16,2.92E-19,-1.06E-22,specimages/fbs0015-DFBSJ162124.03+425536.3.fits,specimagesjpeg/fbs0015-DFBSJ162124.03+425536.3.jpg
43,43,fbs0015,DFBSJ162125.69+425724.1,21:25.7,+42:57:24.16,14.57,13.72,OK,99,15,2.00E-12,-5.59E-14,-1.49E-11,-2.38E-09,1.33E-11,-2.69E-14,2.37E-17,-7.64E-21,specimages/fbs0015-DFBSJ162125.69+425724.1.fits,specimagesjpeg/fbs0015-DFBSJ162125.69+425724.1.jpg
44,44,fbs0015,DFBSJ162126.40+425747.2,21:26.4,+42:57:47.24,15.18,14.85,OK,98,17,6.10E-12,4.40E-15,1.32E-12,2.21E-10,-4.50E-13,-8.23E-17,6.47E-19,-3.34E-22,specimages/fbs0015-DFBSJ162126.40+425747.2.fits,specimagesjpeg/fbs0015-DFBSJ162126.40+425747.2.jpg
45,45,fbs0015,DFBSJ162129.58+425455.9,21:29.6,+42:54:55.96,15.44,14.69,OK,91,17,-1.24E-11,-8.95E-15,-2.69E-12,-4.49E-10,2.61E-12,-5.35E-15,4.67E-18,-1.48E-21,specimages/fbs0015-DFBSJ162129.58+425455.9.fits,specimagesjpeg/fbs0015-DFBSJ162129.58+425455.9.jpg
46,46,fbs0015,DFBSJ162129.72+430038.0,21:29.7,+43:00:38.03,15.31,14.89,OK,98,17,-4.32E-12,-3.11E-15,-9.36E-13,-1.56E-10,1.15E-12,-2.64E-15,2.46E-18,-8.14E-22,specimages/fbs0015-DFBSJ162129.72+430038.0.fits,specimagesjpeg/fbs0015-DFBSJ162129.72+430038.0.jpg
47,47,fbs0015,DFBSJ162132.39+430003.1,21:32.4,+43:00:03.13,14.79,13.65,OK,120,16,-4.12E-11,-6.90E-14,-1.76E-11,-2.88E-09,1.55E-11,-3.05E-14,2.61E-17,-8.23E-21,specimages/fbs0015-DFBSJ162132.39+430003.1.fits,specimagesjpeg/fbs0015-DFBSJ162132.39+430003.1.jpg
48,48,fbs0015,DFBSJ162139.51+425605.9,21:39.5,+42:56:05.91,15.02,14.02,OK,88,18,-4.52E-11,-1.20E-14,-4.67E-12,-7.96E-10,4.57E-12,-9.20E-15,7.86E-18,-2.44E-21,specimages/fbs0015-DFBSJ162139.51+425605.9.fits,specimagesjpeg/fbs0015-DFBSJ162139.51+425605.9.jpg
49,49,fbs0018,DFBSJ143747.57+470029.8,37:47.6,+47:00:29.88,15.36,15.05,NL,94,18,5.31E-13,1.41E-16,5.48E-14,9.36E-12,3.41E-13,-1.14E-15,1.22E-18,-4.28E-22,specimages/fbs0018-DFBSJ143747.57+470029.8.fits,specimagesjpeg/fbs0018-DFBSJ143747.57+470029.8.jpg
50,50,fbs0018,DFBSJ143748.75+470204.1,37:48.8,+47:02:04.18,15.89,15.1,NL,120,17,-2.22E-11,-1.60E-14,-4.82E-12,-8.05E-10,4.11E-12,-7.77E-15,6.42E-18,-1.96E-21,specimages/fbs0018-DFBSJ143748.75+470204.1.fits,specimagesjpeg/fbs0018-DFBSJ143748.75+470204.1.jpg
51,51,fbs0018,DFBSJ143750.43+465246.4,37:50.4,+46:52:46.42,13.65,12.88,OK,102,17,-7.94E-11,-5.73E-14,-1.72E-11,-2.87E-09,1.70E-11,-3.50E-14,3.07E-17,-9.78E-21,specimages/fbs0018-DFBSJ143750.43+465246.4.fits,specimagesjpeg/fbs0018-DFBSJ143750.43+465246.4.jpg
52,52,fbs0018,DFBSJ143752.26+465729.4,37:52.3,+46:57:29.40,16.58,16.2,U,79,18,-6.54E-12,-1.74E-15,-6.76E-13,-1.15E-10,6.55E-13,-1.31E-15,1.11E-18,-3.43E-22,specimages/fbs0018-DFBSJ143752.26+465729.4.fits,specimagesjpeg/fbs0018-DFBSJ143752.26+465729.4.jpg
53,53,fbs0018,DFBSJ143807.83+465237.5,38:07.8,+46:52:37.54,15.91,15.27,OK,85,17,-1.19E-11,-8.59E-15,-2.58E-12,-4.31E-10,2.38E-12,-4.73E-15,4.04E-18,-1.26E-21,specimages/fbs0018-DFBSJ143807.83+465237.5.fits,specimagesjpeg/fbs0018-DFBSJ143807.83+465237.5.jpg
54,54,fbs0018,DFBSJ143813.64+470217.5,38:13.6,+47:02:17.59,16.37,15.78,U,93,19,1.86E-12,-1.69E-15,-5.11E-13,-8.93E-11,5.79E-13,-1.23E-15,1.08E-18,-3.38E-22,specimages/fbs0018-DFBSJ143813.64+470217.5.fits,specimagesjpeg/fbs0018-DFBSJ143813.64+470217.5.jpg
55,55,fbs0018,DFBSJ143814.98+470157.8,38:15.0,+47:01:57.87,16.74,15.77,U,86,17,-9.49E-12,-6.85E-15,-2.06E-12,-3.43E-10,1.80E-12,-3.45E-15,2.87E-18,-8.80E-22,specimages/fbs0018-DFBSJ143814.98+470157.8.fits,specimagesjpeg/fbs0018-DFBSJ143814.98+470157.8.jpg
56,56,fbs0020,DFBSJ070201.94+670517.0,02:01.9,+67:05:17.05,16,15.18,U,65,18,-8.19E-12,-2.18E-15,-8.45E-13,-1.44E-10,8.35E-13,-1.68E-15,1.44E-18,-4.45E-22,specimages/fbs0020-DFBSJ070201.94+670517.0.fits,specimagesjpeg/fbs0020-DFBSJ070201.94+670517.0.jpg
57,57,fbs0020,DFBSJ070207.15+670056.8,02:07.2,+67:00:56.84,16.07,15.22,OK,89,28,5.61E-12,8.46E-16,2.54E-13,5.93E-11,-1.68E-13,1.78E-16,-8.32E-20,1.45E-23,specimages/fbs0020-DFBSJ070207.15+670056.8.fits,specimagesjpeg/fbs0020-DFBSJ070207.15+670056.8.jpg
58,58,fbs0020,DFBSJ070216.01+665928.6,02:16.0,+66:59:28.65,16.2,15.46,NL,63,16,-3.15E-12,-5.26E-15,-1.35E-12,-2.20E-10,1.24E-12,-2.52E-15,2.21E-18,-7.11E-22,specimages/fbs0020-DFBSJ070216.01+665928.6.fits,specimagesjpeg/fbs0020-DFBSJ070216.01+665928.6.jpg
59,59,fbs0020,DFBSJ070216.09+670012.1,02:16.1,+67:00:12.13,15.81,16.19,NL,90,28,3.20E-12,4.83E-16,1.45E-13,3.38E-11,-1.04E-13,1.18E-16,-5.88E-20,1.09E-23,specimages/fbs0020-DFBSJ070216.09+670012.1.fits,specimagesjpeg/fbs0020-DFBSJ070216.09+670012.1.jpg
60,60,fbs0020,DFBSJ070219.09+670644.6,02:19.1,+67:06:44.65,16.02,15.38,U,86,18,-2.44E-12,-6.49E-16,-2.52E-13,-4.30E-11,3.88E-13,-9.48E-16,9.03E-19,-3.01E-22,specimages/fbs0020-DFBSJ070219.09+670644.6.fits,specimagesjpeg/fbs0020-DFBSJ070219.09+670644.6.jpg
61,61,fbs0020,DFBSJ070220.36+670301.2,02:20.4,+67:03:01.27,14.78,13.85,NL,93,16,-2.17E-11,-3.63E-14,-9.29E-12,-1.52E-09,8.31E-12,-1.67E-14,1.47E-17,-4.76E-21,specimages/fbs0020-DFBSJ070220.36+670301.2.fits,specimagesjpeg/fbs0020-DFBSJ070220.36+670301.2.jpg
62,62,fbs0020,DFBSJ070221.26+670501.5,02:21.3,+67:05:01.54,13.33,12.42,NL,120,16,-5.61E-11,-9.38E-14,-2.40E-11,-3.92E-09,2.18E-11,-4.41E-14,3.84E-17,-1.23E-20,specimages/fbs0020-DFBSJ070221.26+670501.5.fits,specimagesjpeg/fbs0020-DFBSJ070221.26+670501.5.jpg
63,63,fbs0020,DFBSJ070222.41+670529.2,02:22.4,+67:05:29.23,14.61,14.59,NL,108,15,-2.55E-13,7.14E-15,1.90E-12,3.04E-10,-2.68E-13,-1.50E-15,2.67E-18,-1.21E-21,specimages/fbs0020-DFBSJ070222.41+670529.2.fits,specimagesjpeg/fbs0020-DFBSJ070222.41+670529.2.jpg
64,64,fbs0020,DFBSJ070231.50+670635.3,02:31.5,+67:06:35.33,16.86,15.53,U,42,17,-8.95E-12,-6.46E-15,-1.94E-12,-3.24E-10,1.61E-12,-2.96E-15,2.40E-18,-7.24E-22,specimages/fbs0020-DFBSJ070231.50+670635.3.fits,specimagesjpeg/fbs0020-DFBSJ070231.50+670635.3.jpg
65,65,fbs0020,DFBSJ070233.06+665928.5,02:33.1,+66:59:28.57,16.48,15.73,U,60,17,-4.22E-12,-3.04E-15,-9.15E-13,-1.53E-10,8.60E-13,-1.73E-15,1.49E-18,-4.69E-22,specimages/fbs0020-DFBSJ070233.06+665928.5.fits,specimagesjpeg/fbs0020-DFBSJ070233.06+665928.5.jpg
66,66,fbs0020,DFBSJ070233.09+670520.0,02:33.1,+67:05:20.06,16.15,16.28,U,76,20,1.13E-15,8.94E-18,4.18E-15,7.48E-13,4.09E-14,-1.27E-16,1.28E-19,-4.24E-23,specimages/fbs0020-DFBSJ070233.09+670520.0.fits,specimagesjpeg/fbs0020-DFBSJ070233.09+670520.0.jpg
67,67,fbs0020,DFBSJ070233.23+670752.5,02:33.2,+67:07:52.52,15.06,14.53,OK,81,16,-7.83E-12,-1.31E-14,-3.35E-12,-5.48E-10,3.03E-12,-6.07E-15,5.25E-18,-1.67E-21,specimages/fbs0020-DFBSJ070233.23+670752.5.fits,specimagesjpeg/fbs0020-DFBSJ070233.23+670752.5.jpg
